Level_Emosi,Tipe_Emosi,Sumber_Emosi,Pertanyaan_Analisis
Sangat Buruk,Kecewa,Sekolah,Apa yang membuat kamu merasa kecewa di Sekolah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Sekolah? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Sekolah?
Sangat Buruk,Kecewa,Stadion,Apa yang membuat kamu merasa kecewa di Stadion? | Apa yang bisa menyebabkan perasaan kecewa kamu di Stadion? | Bagaimana situasi di Stadion mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Stadion? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Stadion?
Sangat Buruk,Kecewa,Pusat Perbelanjaan,Apa yang membuat kamu merasa kecewa di Pusat Perbelanjaan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Perbelanjaan? | Bagaimana situasi di Pusat Perbelanjaan mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Pusat Perbelanjaan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pusat Perbelanjaan?
Sangat Buruk,Kecewa,Bioskop,Apa yang membuat kamu merasa kecewa di Bioskop? | Apa yang bisa menyebabkan perasaan kecewa kamu di Bioskop? | Bagaimana situasi di Bioskop mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Bioskop? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Bioskop?
Sangat Buruk,Kecewa,Hotel,Apa yang membuat kamu merasa kecewa di Hotel? | Apa yang bisa menyebabkan perasaan kecewa kamu di Hotel? | Bagaimana situasi di Hotel mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Hotel? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Hotel?
Sangat Buruk,Kecewa,Kantor Pos,Apa yang membuat kamu merasa kecewa di Kantor Pos? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kantor Pos? | Bagaimana situasi di Kantor Pos mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kantor Pos? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Kantor Pos?
Sangat Buruk,Kecewa,Pelabuhan,Apa yang membuat kamu merasa kecewa di Pelabuhan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pelabuhan? | Bagaimana situasi di Pelabuhan mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pelabuhan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pelabuhan?
Sangat Buruk,Kecewa,Pabrik,Apa yang membuat kamu merasa kecewa di Pabrik? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pabrik? | Bagaimana situasi di Pabrik mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pabrik? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pabrik?
Sangat Buruk,Kecewa,Gedung Serbaguna,Apa yang membuat kamu merasa kecewa di Gedung Serbaguna? | Apa yang bisa menyebabkan perasaan kecewa kamu di Gedung Serbaguna? | Bagaimana situasi di Gedung Serbaguna mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Gedung Serbaguna? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Gedung Serbaguna?
Sangat Buruk,Kecewa,Stasiun Kereta,Apa yang membuat kamu merasa kecewa di Stasiun Kereta? | Apa yang bisa menyebabkan perasaan kecewa kamu di Stasiun Kereta? | Bagaimana situasi di Stasiun Kereta mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Stasiun Kereta? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Stasiun Kereta?
Sangat Buruk,Kecewa,Gedung Pertunjukan,Apa yang membuat kamu merasa kecewa di Gedung Pertunjukan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Gedung Pertunjukan? | Bagaimana situasi di Gedung Pertunjukan mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Gedung Pertunjukan? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Gedung Pertunjukan?
Sangat Buruk,Kecewa,Balai Kota,Apa yang membuat kamu merasa kecewa di Balai Kota? | Apa yang bisa menyebabkan perasaan kecewa kamu di Balai Kota? | Bagaimana situasi di Balai Kota mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Balai Kota? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Balai Kota?
Sangat Buruk,Kecewa,Terminal Bus,Apa yang membuat kamu merasa kecewa di Terminal Bus? | Apa yang bisa menyebabkan perasaan kecewa kamu di Terminal Bus? | Bagaimana situasi di Terminal Bus mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Terminal Bus? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Terminal Bus?
Sangat Buruk,Kecewa,Rumah Sakit,Apa yang membuat kamu merasa kecewa di Rumah Sakit? | Apa yang bisa menyebabkan perasaan kecewa kamu di Rumah Sakit? | Bagaimana situasi di Rumah Sakit mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Rumah Sakit? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Rumah Sakit?
Sangat Buruk,Kecewa,Apotek,Apa yang membuat kamu merasa kecewa di Apotek? | Apa yang bisa menyebabkan perasaan kecewa kamu di Apotek? | Bagaimana situasi di Apotek mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Apotek? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Apotek?
Sangat Buruk,Kecewa,Gudang,Apa yang membuat kamu merasa kecewa di Gudang? | Apa yang bisa menyebabkan perasaan kecewa kamu di Gudang? | Bagaimana situasi di Gudang mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Gudang? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Gudang?
Sangat Buruk,Kecewa,Arena Konser,Apa yang membuat kamu merasa kecewa di Arena Konser? | Apa yang bisa menyebabkan perasaan kecewa kamu di Arena Konser? | Bagaimana situasi di Arena Konser mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Arena Konser? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Arena Konser?
Sangat Buruk,Kecewa,Kuil,Apa yang membuat kamu merasa kecewa di Kuil? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kuil? | Bagaimana situasi di Kuil mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kuil? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Kuil?
Sangat Buruk,Kecewa,Hutan,Apa yang membuat kamu merasa kecewa di Hutan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Hutan? | Bagaimana situasi di Hutan mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Hutan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Hutan?
Sangat Buruk,Kecewa,Desa,Apa yang membuat kamu merasa kecewa di Desa? | Apa yang bisa menyebabkan perasaan kecewa kamu di Desa? | Bagaimana situasi di Desa mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Desa? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Desa?
Sangat Buruk,Kecewa,Perkebunan,Apa yang membuat kamu merasa kecewa di Perkebunan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Perkebunan? | Bagaimana situasi di Perkebunan mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Perkebunan? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Perkebunan?
Sangat Buruk,Kecewa,Pulau,Apa yang membuat kamu merasa kecewa di Pulau? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pulau? | Bagaimana situasi di Pulau mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pulau? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pulau?
Sangat Buruk,Kecewa,Bukit,Apa yang membuat kamu merasa kecewa di Bukit? | Apa yang bisa menyebabkan perasaan kecewa kamu di Bukit? | Bagaimana situasi di Bukit mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Bukit? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Bukit?
Sangat Buruk,Kecewa,Danau,Apa yang membuat kamu merasa kecewa di Danau? | Apa yang bisa menyebabkan perasaan kecewa kamu di Danau? | Bagaimana situasi di Danau mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Danau? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Danau?
Sangat Buruk,Kecewa,Sungai,Apa yang membuat kamu merasa kecewa di Sungai? | Apa yang bisa menyebabkan perasaan kecewa kamu di Sungai? | Bagaimana situasi di Sungai mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Sungai? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Sungai?
Sangat Buruk,Kecewa,Taman Nasional,Apa yang membuat kamu merasa kecewa di Taman Nasional? | Apa yang bisa menyebabkan perasaan kecewa kamu di Taman Nasional? | Bagaimana situasi di Taman Nasional mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Taman Nasional? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Taman Nasional?
Sangat Buruk,Kecewa,Zona Industri,Apa yang membuat kamu merasa kecewa di Zona Industri? | Apa yang bisa menyebabkan perasaan kecewa kamu di Zona Industri? | Bagaimana situasi di Zona Industri mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Zona Industri? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Zona Industri?
Sangat Buruk,Kecewa,Pusat Kebugaran,Apa yang membuat kamu merasa kecewa di Pusat Kebugaran? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Kebugaran? | Bagaimana situasi di Pusat Kebugaran mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Pusat Kebugaran? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pusat Kebugaran?
Sangat Buruk,Kecewa,Kedai Buku,Apa yang membuat kamu merasa kecewa di Kedai Buku? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kedai Buku? | Bagaimana situasi di Kedai Buku mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kedai Buku? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Kedai Buku?
Sangat Buruk,Kecewa,Galeri Seni,Apa yang membuat kamu merasa kecewa di Galeri Seni? | Apa yang bisa menyebabkan perasaan kecewa kamu di Galeri Seni? | Bagaimana situasi di Galeri Seni mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Galeri Seni? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Galeri Seni?
Sangat Buruk,Kecewa,Pusat Teknologi,Apa yang membuat kamu merasa kecewa di Pusat Teknologi? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Teknologi? | Bagaimana situasi di Pusat Teknologi mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pusat Teknologi? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pusat Teknologi?
Sangat Buruk,Kecewa,Laboratorium,Apa yang membuat kamu merasa kecewa di Laboratorium? | Apa yang bisa menyebabkan perasaan kecewa kamu di Laboratorium? | Bagaimana situasi di Laboratorium mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Laboratorium? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Laboratorium?
Sangat Buruk,Kecewa,Pusat Komunitas,Apa yang membuat kamu merasa kecewa di Pusat Komunitas? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Komunitas? | Bagaimana situasi di Pusat Komunitas mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Pusat Komunitas? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pusat Komunitas?
Sangat Buruk,Kecewa,Tempat Parkir,Apa yang membuat kamu merasa kecewa di Tempat Parkir? | Apa yang bisa menyebabkan perasaan kecewa kamu di Tempat Parkir? | Bagaimana situasi di Tempat Parkir mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Tempat Parkir? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Tempat Parkir?
Sangat Buruk,Kecewa,Lapangan Terbuka,Apa yang membuat kamu merasa kecewa di Lapangan Terbuka? | Apa yang bisa menyebabkan perasaan kecewa kamu di Lapangan Terbuka? | Bagaimana situasi di Lapangan Terbuka mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Lapangan Terbuka? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Lapangan Terbuka?
Sangat Buruk,Kecewa,Arena Skate,Apa yang membuat kamu merasa kecewa di Arena Skate? | Apa yang bisa menyebabkan perasaan kecewa kamu di Arena Skate? | Bagaimana situasi di Arena Skate mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Arena Skate? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Arena Skate?
Sangat Buruk,Kecewa,Pusat Konferensi,Apa yang membuat kamu merasa kecewa di Pusat Konferensi? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Konferensi? | Bagaimana situasi di Pusat Konferensi mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pusat Konferensi? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Pusat Konferensi?
Sangat Buruk,Kecewa,Kios,Apa yang membuat kamu merasa kecewa di Kios? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kios? | Bagaimana situasi di Kios mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Kios? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kios?
Sangat Buruk,Kecewa,Warung,Apa yang membuat kamu merasa kecewa di Warung? | Apa yang bisa menyebabkan perasaan kecewa kamu di Warung? | Bagaimana situasi di Warung mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Warung? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Warung?
Sangat Buruk,Kecewa,Kantor Cabang,Apa yang membuat kamu merasa kecewa di Kantor Cabang? | Apa yang bisa menyebabkan perasaan kecewa kamu di Kantor Cabang? | Bagaimana situasi di Kantor Cabang mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Kantor Cabang? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Kantor Cabang?
Sangat Buruk,Kecewa,Studio Musik,Apa yang membuat kamu merasa kecewa di Studio Musik? | Apa yang bisa menyebabkan perasaan kecewa kamu di Studio Musik? | Bagaimana situasi di Studio Musik mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Studio Musik? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Studio Musik?
Sangat Buruk,Kecewa,Taman Bermain,Apa yang membuat kamu merasa kecewa di Taman Bermain? | Apa yang bisa menyebabkan perasaan kecewa kamu di Taman Bermain? | Bagaimana situasi di Taman Bermain mempengaruhi perasaan kamu yang kecewa? | Apa langkah yang dapat kamu ambil untuk memperbaiki perasaan sangat buruk di Taman Bermain? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Taman Bermain?
Sangat Buruk,Kecewa,Pusat Kebudayaan,Apa yang membuat kamu merasa kecewa di Pusat Kebudayaan? | Apa yang bisa menyebabkan perasaan kecewa kamu di Pusat Kebudayaan? | Bagaimana situasi di Pusat Kebudayaan mempengaruhi perasaan kamu yang kecewa? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Pusat Kebudayaan? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Pusat Kebudayaan?
Sangat Buruk,Frustrasi,Sekolah,Apa yang membuat kamu merasa frustrasi di Sekolah? | Apa yang bisa menyebabkan perasaan frustrasi kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang frustrasi? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Sekolah? | Bagaimana kamu mengatasi rasa frustrasi saat mengalami hambatan di Sekolah?
Sangat Buruk,Frustrasi,Rumah,"Apa yang membuat kamu merasa frustrasi di Rumah? | Apa yang bisa menyebabkan perasaan frustrasi kamu di Rumah? | Bagaimana situasi di Rumah mempengaruhi perasaan kamu yang frustrasi? | Bagaimana perasaan sangat buruk ini mempengaruhi keseharianmu di Rumah? | Ketika merasa frustrasi di Rumah, apa yang bisa kamu lakukan untuk mengurangi perasaan itu?"
